PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
10	Unknown	1815	0.4209333	0.5955667	0.7273667	310.2603	5396.5	33771.37890625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	187.17	310.26024:1004 310.8113:21 311.14321:61 311.26426:216 312.26298:22 313.14011:33 314.19222:18 315.14166:23	56.05103:11 58.06579:44 60.04318:14 61.00869:7 67.0549:20 70.06444:76 72.08087:50 80.04715:7 82.06642:30 84.08118:1923 85.07647:11 86.09581:29 89.11065:7 94.06835:13 96.08132:336 98.09619:181 101.07389:12 110.09201:30 110.09612:230 112.0757:20 112.10476:12 112.11203:383 113.10755:16 115.12337:31 121.03164:7 122.05942:204 124.07561:75 126.09069:19 127.08443:21 127.12422:300 129.10365:36 129.1393:272 136.06177:11 138.08977:40 139.08684:471 140.10722:47 141.10223:40 142.08791:7 149.10402:12 150.092:62 152.10793:16 153.10214:193 153.13611:27 155.11861:78 155.15645:19 165.10262:176 165.13663:29 167.11398:112 167.11778:497 167.15199:14 169.13113:19 172.86005:7 175.11769:14 178.13104:10 179.12152:43 181.13315:103 182.12929:28 184.1404:9 184.18164:55 191.15237:12 193.17169:13 196.14229:74 198.15598:19 204.15089:11 207.1508:14 209.16621:30 210.1655:17 213.19911:14 213.20914:37 216.94551:7 219.1501:135 222.15997:41 224.175:183 236.17755:56 238.19151:42 241.20108:9 250.1927:22 251.21867:26 267.25586:26 275.22305:37 276.20621:31 293.22147:18 293.23322:354 310.26166:746
11	Unknown	1815	0.4952333	0.5955667	0.7273667	311.2643	1041	6429.07080078125	null	[M+H]+	M + 1	isotope of 10	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.21224	310.8113:21 311.14321:61 311.26426:216 312.26298:22 313.14011:33 314.19222:18 315.14166:23	
12	Unknown	1826	0.5222667	0.6091334	0.8205166	104.0085	2951.3125	13622.4013671875	null	[M+H]+	M + 0	similar chromatogram in higher mz_13	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	126.1961	103.95548:33 104.00845:1029 104.95334:24 105.0116:31 105.0327:17 105.06987:47 105.96304:240 106.99177:43 107.08609:35 107.91648:42 107.95925:175 108.91369:83 108.96281:58	51.93942:25 57.93439:108 59.93081:25 60.98725:342 61.93019:27 62.98302:996 66.92492:10 67.93434:118 68.94155:45 76.93121:27 80.99275:47 90.98596:33 90.98877:126
13	Unknown	1826	0.5357667	0.6091334	0.6936833	214.9191	1161.625	5004.8291015625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	211.5162	214.91907:310 215.91902:27 216.90685:83 217.05125:26 217.10758:38 217.2347:23 217.87379:34 218.86898:34 218.90669:53 219.05175:20 219.86934:32 219.89696:27	
14	Unknown	1826	0.5222667	0.6091334	0.6936833	259.1424	3258.9375	14163.349609375	null	[M+H]+	M + 0	found in higher mz's MsMs_16; found in higher mz's MsMs_3	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	73.24058	258.85055:50 259.12347:52 259.14241:907 259.19133:30 259.85302:18 260.13754:39 260.14386:104 261.13774:364 262.14145:47 262.8498:33 263.13436:66	55.05226:25 58.06355:16 68.98632:10 70.06362:36 72.08004:27 84.08028:51 84.95987:143 86.09581:25 87.96963:17 101.05812:40 102.97895:15 111.04548:35 114.97721:16 116.99364:25 125.98063:25 126.98167:39 127.99998:141 128.99339:162 129.99402:27 131.01196:83 136.08235:10 140.99512:28 142.99258:20 143.01018:200 144.01895:34 145.02773:109 152.00034:32 154.01685:51 155.01117:124 155.90829:19 156.03195:32 157.00572:28 157.02661:351 159.04269:70 162.03104:10 166.99234:25 169.02788:41 171.01678:52 171.02576:69 171.04243:137 171.8652:47 172.04002:20 173.03279:243 173.0573:44 176.12057:17 179.04805:17 181.02631:113 183.02071:32 183.04193:771 184.04861:53 185.03271:126 185.05673:484 186.0676:41 187.04099:43 187.07585:40 199.04288:25 201.07692:23 202.08319:19 211.07315:18 214.06738:29 215.08978:19 225.07414:30 228.09764:69 238.07956:12 238.08411:42 240.10159:28 249.06206:10 255.09142:10 255.11177:27 257.12613:90 257.14972:10 259.14209:52
15	Unknown	1826	0.5290167	0.6091334	0.6936833	261.1377	1306.25	5681.12451171875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	45.97171	261.13774:364 262.14145:47 262.8498:33 263.13436:66 264.84655:31 265.13698:107	
16	Unknown	1826	0.4378667	0.6091334	0.6833333	305.148	2322.0625	9713.85546875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	162.713	305.10858:249 305.14797:642 306.10938:66 306.14883:75 307.10839:101 307.14446:277 308.09181:31 308.14687:68 308.24497:26 309.1423:65 309.19918:18	58.06579:20 70.0628:64 74.05924:25 84.08118:340 85.08461:27 87.05718:17 89.01443:10 101.98657:17 105.03136:10 116.99576:19 125.97293:23 126.97615:24 127.12311:164 128.00108:55 128.99452:90 129.10143:55 131.01085:30 140.99396:19 143.01018:175 144.01543:28 145.02654:183 149.98392:16 151.99913:45 154.01564:54 155.01117:85 156.03195:31 157.02661:457 159.04146:78 163.0396:28 169.02406:48 171.01678:96 171.03345:59 171.04243:154 173.03407:358 173.04826:205 174.03229:24 175.03596:21 181.02631:116 183.04193:1503 184.17897:27 185.04472:223 185.05806:3927 186.06358:24 187.07449:237 199.04703:42 200.06763:59 201.05328:37 201.06857:68 201.07553:39 202.08458:51 213.06171:32 214.08601:126 215.07829:29 226.08565:29 228.1021:417 230.09625:18 230.11261:33 238.08711:74 240.09856:75 242.11845:36 253.09596:34 255.1102:139 257.10727:79 257.12613:2135 257.14813:72 259.13107:59 259.14209:4331 263.20721:10 267.13409:41 269.13254:59 269.16632:10 305.10831:72
17	Unknown	1848	0.4074333	0.6362333	0.7478167	296.2459	3650.0625	17055.0390625	null	[M+H]+	M + 0	similar chromatogram in higher mz_18	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	81.81615	296.21888:15 296.24588:873 297.07827:26 297.24726:158 298.25541:22 299.20931:21 301.14038:362	58.06278:32 70.06606:58 72.08084:111 82.06373:33 83.06044:20 84.08025:377 84.09014:20 94.02744:41 108.08114:118 110.09711:491 110.40178:20 112.11199:2302 120.07904:20 123.0567:198 129.14037:891 136.07658:90 151.08678:1082 178.05772:20 179.15688:61 183.18779:20 205.13385:183 222.15112:107 222.15988:1805 265.0105:48 281.05115:55 296.24222:83
18	Unknown	1848	0.4311	0.6362333	0.741	356.2672	4382.5625	20875.83984375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	110.9762	356.07297:92 356.26722:1117 356.90956:60 357.06329:39 357.26893:246 358.16259:41 358.2702:35 360.16529:43 361.16128:17	56.04812:39 58.06507:138 69.03278:36 70.0653:40 71.04846:116 72.08174:144 73.04789:70 74.04494:36 84.04617:183 84.06145:100 84.08212:109 85.07742:1385 90.97666:58 98.06129:30 99.09199:25 112.11312:1238 114.70204:10 116.06989:173 129.09705:26 129.14047:1975 144.06609:141 213.20638:1336 220.93443:29 220.95483:10 228.13034:77 228.1348:171 250.15872:51 267.00125:41 268.00012:30 324.23621:61 356.0231:11 356.0712:63 356.21548:49 356.26361:568
19	Unknown	1859	0.5290167	0.64985	0.7307333	158.9652	1623.125	6714.5859375	null	[M+H]+	M + 0	similar chromatogram in higher mz_20; similar chromatogram in higher mz_17; similar chromatogram in higher mz_24; similar chromatogram in higher mz_25; found in higher mz's MsMs_24	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	39.71023	158.96516:521 159.13701:28 161.09687:68 163.03868:70 163.13383:17	54.93812:85 55.94466:438 57.06914:25 72.04675:75 76.93379:20 81.06953:21 91.05985:20 99.9339:98 117.05515:49 129.06467:20 159.09956:56
20	Unknown	1859	0.4919	0.64985	0.7341833	226.9505	3419.6875	12622.470703125	null	[M+H]+	M + 0	found in higher mz's MsMs_24	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	71.30987	226.95054:1148 227.03767:20 227.10119:35 227.12483:36 227.9529:44 229.14293:28 231.21466:26	53.03953:10 55.05226:49 57.06988:30 60.95586:10 69.0694:65 70.06608:20 77.04131:35 78.04264:10 80.0568:21 90.97568:2030 93.06985:27 97.09869:35 117.06894:10 121.06615:57 185.88043:10 192.97961:30 209.03438:21 227.09496:18 227.1053:10
21	Unknown	1859	0.45815	0.64985	0.73755	242.9263	1326.875	4736.50537109375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	397.4007	242.92634:471 243.1189:45 244.92278:52 245.09157:17	
22	Unknown	1859	0.4682333	0.64985	0.7307333	288.9203	1740.5	6946.0654296875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	161.2929	288.92026:496 289.92588:32 290.9249:14 291.1607:19 293.19658:18 293.23518:74	84.08385:20 87.97604:20 90.97752:835 101.01375:20 129.10583:20 176.96454:37 208.03348:21 220.93423:84 259.10416:21 288.9682:31
23	Unknown	1859	0.4648833	0.64985	0.7876833	362.9259	1300.5	4524.1533203125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	388.101	362.92591:433 363.92758:44 365.043:103 365.10855:24 366.86201:16	
24	Unknown	1859	0.4614833	0.64985	0.8171333	430.9159	1503	5280.619140625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	148.6976	430.91591:507 431.08483:40 431.91564:62 432.91857:26	70.06526:30 73.04618:67 90.97755:1477 97.02916:20 98.98853:20 129.10031:46 139.01979:20 158.96358:1735 159.96628:33 226.95169:1022 294.87723:38 326.96716:84 326.98135:21 413.05695:21
25	Unknown	1859	0.4446167	0.64985	0.7642167	566.89	1147.6875	3899.0478515625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	457.8768	566.89001:418 567.8824:29 568.89202:25	
26	Unknown	1870	0.5554667	0.6634	0.7711167	185.1144	3627.1875	19117.49609375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	85.92375	185.1144:789 186.11739:50 187.11103:12 189.16286:12	55.01733:64 55.0566:73 57.93438:193 58.94228:218 69.06938:38 76.95612:31 83.08278:20 98.94558:20 98.96021:187 99.96915:102 113.05435:20 116.97028:56 121.10925:20 126.96617:201 127.97887:43 141.06958:31
27	Unknown	1870	0.5357667	0.6634	0.7711167	301.1422	1700.1875	9915.4296875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	51.16516	301.14216:433 302.14496:105 303.89746:104 304.89285:112	
28	Unknown	1881	0.5425166	0.67645	0.7642167	393.2983	1029.25	6051.033203125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	25.05324	393.08254:18 393.28858:26 393.2983:160 394.29819:47 395.05965:33 395.41045:18	
29	Unknown	1958	0.5820333	0.7005166	0.8205166	365.1066	2559.5625	8506.8466796875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	18.17118	365.03923:260 365.10479:431 365.54135:85 366.04006:23 366.10758:89 367.10987:65 367.87659:7	70.06357:10 71.07151:4 84.08112:15 97.02812:25 108.04339:137 109.04632:7 119.03393:13 120.079:7 129.09911:7 136.06281:338 175.11626:8 176.99448:16 183.12669:4 185.04193:514 203.0527:1309 204.06531:37 205.06918:8 216.0309:6 220.07095:4 222.0663:8 232.07803:12 240.08623:13 302.04224:115 303.04144:20 312.04767:29 320.03958:21 320.05362:162 321.05051:14 330.0567:25 365.08185:37 365.1062:1001 365.13989:14
30	Unknown	2090	0.6833333	0.7512	0.8541667	139.05	2185.6875	6776.201171875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	49.7938	139.05:503 139.11128:34 140.05053:24 140.9592:54 141.95838:87 143.08302:57 143.95911:43	51.02219:10 52.01851:10 53.0366:5 54.03357:14 55.01873:13 55.05364:31 55.93359:13 56.94176:25 56.96396:6 57.03427:5 57.93507:50 58.94222:7 65.04008:12 66.03365:937 67.04197:21 68.04822:267 68.99682:4 69.04487:56 70.06435:9 70.94095:15 77.03777:39 78.03474:17 79.04074:6 79.05294:12 81.03324:4 81.06942:11 83.05053:11 84.08017:5 84.95976:29 90.90358:8 91.05412:15 93.04515:3517 94.02735:19 94.05016:8 94.05111:12 95.06058:557 96.04468:12 96.08023:5 97.03965:92 97.06476:8 97.95338:8 98.96304:7 106.02514:7 109.07901:5 110.08055:3 111.09079:6 121.0401:2037 122.02244:7 139.0381:8 139.04967:253 139.1225:9
31	Unknown	2134	0.6902	0.78415	0.8679	308.0919	2004.25	8453.439453125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	38.40761	307.84593:20 308.09193:438 309.08899:55 309.20102:16 312.04655:17	
32	Unknown	2167	0.741	0.8136666	0.8886333	194.1176	5766.125	32543.2265625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	23.18679	193.93052:37 194.11759:1186 195.12:147 195.92874:25 197.08579:30	51.02296:20 55.01663:4 56.05029:13 58.06504:1425 59.05977:4 59.07257:74 60.08193:9 65.0378:8 70.06526:5 72.93647:10 77.03959:113 79.05479:72 81.06776:3 82.97919:3 86.9758:2 89.03663:11 91.05237:13 95.04828:3 98.96415:4 105.04241:4 107.04924:1998 108.9594:4 110.09715:4 113.96825:4 117.03288:11 133.02925:4 134.09645:4 134.89224:23 135.03802:49 135.04486:4397 136.04576:5 148.91017:4 152.9045:38 162.89694:60 170.91296:18 175.91901:29 176.11539:3 179.08217:4 180.90894:56 193.92859:8 194.10201:5 194.11703:633
33	Unknown	2211	0.7478167	0.83695	0.9288833	208.1331	1633.4375	6938.138671875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	28.48041	208.1331:394 209.01369:53 209.13559:63	
34	Unknown	2222	0.7642167	0.8403333	0.9596834	156.1376	2073.4375	6236.90966796875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	100.4292	156.13764:453 156.96064:37 157.09331:21 157.14246:31 158.09749:86 158.15296:32 159.07768:19 159.09993:21 159.13703:20 160.98866:31 161.09565:68	
35	Unknown	2486	0.8403333	0.9526833	0.9947333	365.0412	3777.75	27049.3671875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.59573	365.00747:18 365.04118:656 365.10487:53 365.54143:247 366.04577:66 367.04798:16	
36	Unknown	2486	0.8335	0.9526833	0.9807333	640.0466	4555.25	25415.421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	30.11234	639.94991:18 640.04663:813 640.21032:98 640.96953:35 641.04647:148 641.21774:49 642.04958:61 644.01337:18	87.06088:4 97.02824:18 119.03622:18 136.06183:486 176.99467:11 193.0519:10 232.0813:135 273.01425:12 312.04803:16 330.0589:49 332.88593:7 349.89218:9 410.02448:90 426.6532:8 428.00079:19 428.03729:2271 429.03976:17 462.91849:9 463.92297:26 464.93912:8 489.99002:69 506.03351:19 507.96045:10 508.00244:781 524.05304:40 580.02661:13 604.02271:663 604.06366:18 622.00464:16 622.03644:191 639.97247:10 640.04688:332 640.18829:9 640.22052:30
37	Unknown	2486	0.8335	0.9526833	0.9911667	746.1011	8943.4375	49216.57421875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	55.30412	746.04223:42 746.10114:1581 747.10023:427 747.89087:22 748.11072:112 748.88043:15 749.10042:47 749.88675:17	80.04894:4 98.0574:4 108.04862:8 136.06183:74 136.07556:8 150.05482:87 158.04298:4 176.99599:9 178.08664:71 204.06415:51 221.09183:16 222.07533:37 258.04349:6 258.05295:20 276.06296:273 284.02722:7 302.04263:511 312.04977:21 319.07092:26 320.05048:52 330.05533:31 356.06747:8 374.04291:8 400.01843:47 410.02646:151 427.98862:9 428.01093:35 428.03729:462 429.03772:8 429.0885:9 431.08081:12 437.09155:12 442.02408:8 452.04721:15 477.97375:9 480.01837:4 489.98785:13 508.00024:9 535.07043:7 550.01453:8 568.03918:10 576.00824:33 577.06512:12 577.07922:114 586.00793:17 594.01562:274 604.02515:23 622.034:13 631.09326:11 667.08368:9 685.08105:30 693.05811:6 711.02118:15 711.06036:277 728.94928:8 729.03662:82 729.07373:6776 730.07458:62 746.10156:735
38	Unknown	2486	0.8205166	0.9526833	1.075817	768.0807	1654.625	9442.2373046875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	49.99591	768.04538:20 768.08069:324 769.0808:78 770.07883:38 772.54541:11 773.06318:37	
39	Unknown	2486	0.8403333	0.9526833	1.048017	800.0185	1842.625	13562.7841796875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	34.26023	799.52225:25 799.96581:15 800.01849:400 800.51488:23 801.02529:158 802.0244:148 802.52697:20 803.02691:62 804.01615:79 804.03283:44	
40	Unknown	2497	0.8205166	0.9561333	0.9947333	747.1002	2340.875	13629.546875	null	[M+H]+	M + 1	isotope of 37	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	31.10603	746.96891:19 747.1002:427 748.10264:146 749.10844:37 750.9931:22	
41	Unknown	2662	0.9841833	1.0183	1.1239	603.0255	2990.875	13039.1181640625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	86.92065	603.02548:651 604.0249:225 605.00344:41 605.03238:53 606.03828:29	
42	Unknown	2662	0.9807333	1.0183	1.117067	618.9862	2336.9375	11187.349609375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	73.20231	618.98622:469 619.99633:76 620.99017:31 621.9848:26 622.03858:226 622.97778:21 623.03406:61	
43	Unknown	2662	0.9807333	1.0183	1.1136	636.9602	1660.625	7763.87841796875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	69.59478	636.9602:381 637.94526:24 638.21516:116 638.95833:119 639.21853:78 639.95732:31 640.0466:1845 640.21277:25 641.02907:34 641.04892:349 641.20778:32	
44	Unknown	2673	0.9631333	1.0314	1.106733	458.9282	2676.5625	14004.685546875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	67.99191	458.92821:553 459.93257:62 460.93172:39 461.93406:19	59.02889:2 70.02835:8 74.93666:2 97.0282:69 113.03251:15 119.03403:2 136.06064:3 147.06535:4 152.90451:4 153.01363:2 162.89944:8 180.91026:9 192.93198:3 214.85841:8 220.92998:6 230.91336:10 232.87039:234 238.94101:3 242.86494:32 246.9194:12 248.91669:14 248.92442:103 250.8801:83 260.87616:93 263.93454:4 264.93085:52 266.93228:9 272.9024:4 274.92065:4 282.94272:6 286.87912:9 288.89169:5 295.1012:2 300.89532:17 301.89429:3 304.88919:6 310.88013:26 312.09122:2 317.94235:8 326.88922:11 327.8967:7 328.85062:6 328.87372:22 328.89151:1097 328.92349:4 342.93887:10 344.87311:9 344.89679:294 346.90408:32 360.95258:6 362.90329:4 368.82465:4 378.95206:4 384.76395:4 386.86658:4 397.91339:4 398.90933:11 458.92593:38
45	Unknown	2673	0.83695	1.0314	1.1239	634.9603	3325.625	20075.634765625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	110.3098	634.96033:637 635.96362:140 636.96274:297 637.96265:98 638.2177:84 638.95343:116 639.95986:26	
46	Unknown	2673	0.9911667	1.0314	1.093017	746.0984	6438.5625	33857.9296875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	15.64882	746.0985:1412 746.15741:20 747.10295:396 747.88287:22 748.10807:128 749.09509:27 749.88947:21	
