PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum,Predicted Label,Prediction Probability
1386,Unknown,18348,9.185516,9.28195,9.531266,183.0805,12261.875,88389.109375,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,140.7278,183.08052:3869 183.10307:113 183.11633:327 183.13623:535 183.17338:309 184.07268:500 184.08332:644 184.12056:50 184.14184:95 185.09552:443 185.11553:553 185.13153:436 185.15287:646 186.09847:64 186.13457:72 186.15597:121 186.18406:182 186.22152:264 187.11217:509 187.14837:1075 187.22348:89,50.0154:259 51.01799:96 51.02359:1006 53.03804:83 55.05292:350 57.03353:97 57.06907:481 67.05482:443 69.07013:183 71.04999:143 71.08635:92 77.04036:15718 79.05382:192 80.97325:69 81.06149:57 81.06943:599 83.0845:59 85.02845:125 85.06461:78 91.05226:210 93.06974:112 95.04912:262 95.08544:502 98.98451:254 104.70297:47 105.03525:23273 106.03626:46 109.10053:97 113.0949:51 115.05277:62 119.08736:185 121.1016:87 123.11533:92 127.07654:63 129.06897:72 141.07179:203 142.07954:63 147.11392:104 152.06302:26 153.07042:87 154.07872:116 155.08545:205 165.12761:64 166.98454:53 167.08716:111 168.09097:78 183.08282:170 183.10406:142 183.11732:64 183.13722:56,0,0.08422459893048127
407,Unknown,12738,5.65825,5.84415,6.05865,184.1152,5143.4375,43611.9765625,,[M+H]+,M + 0,similar chromatogram in higher mz_408,,,,,,,999,False,False,False,,,,,,163.7131,184.11519:1175 185.11681:266 186.10911:32 186.22013:312 187.11211:29 187.22611:57 188.10974:31,51.02288:10 52.93812:4 53.03802:41 53.94713:3 55.05363:16 55.93431:5 56.94397:8 57.0698:20 58.02911:4 58.9934:30 59.03105:120 60.0036:4 60.8135:11 61.01089:11897 62.01113:8 62.99071:16 65.0377:19 66.04479:8 67.054:12 69.01554:8 69.07174:11 70.95663:5 71.03097:8 73.01005:10 75.02567:1057 77.00506:155 77.03861:41 78.04166:23 79.01981:43 79.0538:246 80.80924:4 81.07029:3300 82.06186:4 83.02997:26 85.04561:3 87.02596:216 93.03473:15 95.01469:4 95.0252:5 95.03093:66 95.0835:3 96.93923:5 97.04736:1410 97.9359:11 98.97083:5 98.98448:17 99.02447:16 100.10924:3 101.04221:693 102.0389:4 105.03422:42 106.03522:62 113.03963:5 115.05799:606 123.062:50 124.89572:9 125.05791:4 125.07874:630 125.89134:5 128.06081:9 129.07228:11 139.05542:5 141.07291:46 143.08852:132 154.06529:5 156.05254:8 156.07948:9 161.09753:6 166.06358:7 168.98177:38 169.08499:4 170.8999:5 170.98192:5 183.06554:6 184.00446:18 184.07495:27 184.10022:6 184.11353:8,0,0.1016058248658566
26,Unknown,1870,0.5554667,0.6634,0.7711167,185.1144,3627.1875,19117.49609375,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,85.92375,185.1144:789 186.11739:50 187.11103:12 189.16286:12,55.01733:64 55.0566:73 57.93438:193 58.94228:218 69.06938:38 76.95612:31 83.08278:20 98.94558:20 98.96021:187 99.96915:102 113.05435:20 116.97028:56 121.10925:20 126.96617:201 127.97887:43 141.06958:31,0,0.0394901411858267
349,Unknown,12331,5.1699,5.40125,5.534783,186.1281,12375.9375,55642.0078125,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,198.5208,186.12805:4056 186.22034:494 187.0654:105 187.12976:517 187.22498:91 188.13685:36 189.05497:21 189.12642:74,50.01544:19 51.02294:50 53.03737:7 55.05442:32 56.04881:10 57.06986:391 61.02781:4 65.03778:23 65.04252:8 67.04123:21 67.05327:33 70.06524:12 72.08001:41 74.0955:174 77.0387:545 79.05476:910 80.04975:64 81.06773:8 82.06462:201 86.09487:25 89.4246:4 91.05327:60 93.05564:6 94.06452:133 95.0731:133 98.09324:8 102.04397:8 103.04956:39 103.05454:553 104.05808:8 105.07051:8955 106.0737:13 115.05392:27 117.0689:14 128.14417:32 129.07243:14 130.15833:546 131.08487:16 143.08047:8 144.89903:12 153.06813:4 156.07967:13 158.09586:255 159.07108:11 159.09457:4 170.09625:12 172.90253:13 184.11372:19 186.12772:1003 186.19057:9 186.22134:539,0,0.4209632247788592
1436,Unknown,18370,9.171383,9.3094,9.393367,186.1839,2481.75,14491.951171875,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,38.08108,186.13586:75 186.15592:175 186.18401:700 186.2228:434 187.07591:69 187.11077:430 187.14698:843 187.18989:124 188.11512:91 188.15142:132 189.0898:371 189.12755:658 189.1626:691 190.12918:110 190.16567:141 191.10635:425 191.14294:514 191.17953:908,55.05432:191 56.05751:99 57.06976:693 58.07388:54 60.04457:60 65.02184:20 67.05154:64 67.05716:45 69.07169:68 70.07331:63 71.08463:165 72.08986:66 74.03293:38 74.06077:215 74.09789:108 76.02491:20 81.06935:92 82.07157:39 85.10522:20 88.07337:140 95.08725:31 96.08976:38 100.11408:20 102.08834:109 128.14392:39 130.07199:39 130.16032:332 143.08372:64 156.09283:20 166.07356:44 186.08858:44 186.118:49 186.13806:91 186.17551:128 186.1862:175 186.22099:396,0,0.11746368719188852
620,Unknown,17941,8.548067,8.773733,8.949984,186.2215,13092.8125,111944.4765625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,193.6664,186.18535:32 186.22147:3907 187.10944:52 187.14833:277 187.22477:413 188.10975:14 188.15143:46 189.08981:49 189.12621:84 189.16396:130 190.12918:23 190.16298:20 191.07112:41 191.10771:88 191.14294:309 191.17818:62,55.05361:134 56.96245:43 57.06904:1921 63.0148:20 67.05478:65 72.07824:87 74.09623:1110 81.0685:54 86.09474:196 96.08787:36 110.97608:54 116.06433:34 119.0199:34 128.14397:234 130.15143:103 130.15926:3041 151.03233:20 167.04144:70 186.21303:255 186.2224:5004,0,0.09628403887034255
297,Unknown,11946,4.8592,5.0789,5.45435,186.2216,65686.25,464597.8125,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,1053.038,186.22165:17373 187.14716:21 187.22495:2040 188.22826:127 189.16279:29 191.00085:22,57.06957:770 74.09679:298 81.06907:10 86.09896:27 113.96235:10 128.14233:119 130.15985:1350 186.22029:2097,0,0.17134691371760427
2110,Unknown,19613,10.59142,10.68748,10.88388,189.9992,2609.25,14685.5966796875,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,240.9597,189.99919:567 191.00312:71 191.1061:82 191.14269:103 191.99611:241 192.08577:116 192.10071:97 193.15922:398 194.11682:594 194.15369:68,57.93499:2352 58.94214:210 59.9299:36 70.94251:21 72.95804:938 74.9373:586 75.94455:130 76.95251:47 84.94428:26 85.93102:100 86.93717:151 86.94814:44 87.9455:53 88.95317:599 89.96007:154 90.96796:147 97.95422:23 98.96193:1922 99.96794:332 100.94948:35 100.95244:297 102.96873:23 103.94287:44 104.94871:164 105.0351:33 106.07144:22 106.96378:28 107.97085:21 113.98364:60 115.9597:27 115.96287:293 116.94774:451 116.95728:197 116.97107:82 117.95594:2093 118.96313:149 119.08398:28 120.05621:29 126.96698:1327 127.96859:160 128.9463:74 128.95856:151 129.97244:35 134.95908:42 135.96536:112 136.10143:10 144.95415:324 145.96265:911 146.95917:160 148.97678:136 156.95372:26 157.97472:58 158.9817:80 159.0806:20 160.11095:26 162.08926:23 174.96678:47 175.97444:38 176.97978:34 190.06644:21 190.0705:96 190.11375:48 190.1543:32,0,0.1442537872595299
1716,Unknown,18612,9.51755,9.614634,9.740067,191.085,4684.9375,24071.59375,,[M+H]+,M + 0,similar chromatogram in higher mz_1707; similar chromatogram in higher mz_1710,,,,,,,999,False,False,False,,,,,,146.6845,191.085:1394 191.10533:134 191.14056:127 191.17987:245 192.08908:274 192.10266:82 192.13663:48 192.18147:59 193.08352:62 193.12166:284 193.15845:517 193.19387:49 194.11741:506 194.15975:80 195.10066:127 195.1212:305 195.13626:138 195.1746:293,55.05373:164 65.03782:108 67.05251:81 69.07349:66 74.7323:20 77.04047:117 79.05394:152 81.06955:102 86.93652:20 91.05426:159 93.07178:105 95.08463:74 105.06957:81 107.05029:117 107.08376:115 117.06897:63 119.08647:161 120.00394:20 121.09854:142 131.08383:59 135.11667:84 145.09979:68 149.09567:37 149.1328:51 152.06084:68 158.10828:97 164.06264:55 165.07118:1288 173.09734:66 176.0647:73 176.11934:21 187.05444:46 189.07092:3535 190.07782:3602 191.08601:5498,0,0.02073152586407752
1755,Unknown,18700,9.62855,9.725917,9.81285,191.1432,5017.0,25773.306640625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,129.8738,191.10387:75 191.14317:1335 191.17841:362 192.08354:131 192.1012:82 192.13789:65 192.14468:220 192.18137:52 193.08614:35 193.12156:108 193.15834:428 193.19513:86 194.08726:23 194.11731:528 194.15282:92 194.16102:111 195.12109:517 195.13752:136 195.17313:655 196.12472:77,51.02224:20 55.05443:145 57.06987:706 67.05328:131 67.49791:20 77.03957:109 79.05564:120 81.06951:171 83.08457:21 87.04435:20 91.05328:174 93.06889:218 95.08457:199 104.94897:20 105.07152:134 107.04516:40 107.08573:186 109.09858:54 115.05288:75 119.08747:65 121.06504:44 121.0974:68 122.06805:20 123.08064:61 131.086:88 134.07144:20 135.07899:93 135.11659:159 145.06548:49 147.08553:96 148.08826:53 149.14229:20 155.05875:20 160.09396:20 161.09274:67 163.11092:258 171.25398:20 173.09723:52 175.10986:241 189.07082:77 190.07635:106 191.08321:119 191.12793:111 191.1442:825,0,0.01563533987235497
